,시설명,분류,시군구 명칭,위도,경도,지번주소,전화번호,홈페이지,휴무일,운영시간,무료주차 가능여부,유료주차 가능여부,장애인용 출입문,휠체어 대여 가능 여부,장애인 화장실 유무,장애인 전용 주차장 여부,대형주차장 가능여부,시각장애인 안내견 동반 가능 여부,점자 가이드 여부,오디오 가이드(한국어)
17,29아트,2,17,37.5535257,127.194669,경기도 하남시 덕풍동 762,02-512-1029,www.29art.com/e/,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
18,3.15국립묘지,2,18,35.25266875,128.587535,경상남도 창원시 마산회원구 구암동 544-1,055-253-9315,www.mpva.go.kr/315/index.do,"매주 토요일, 공휴일",09:00-18:00 / 동절기(11월-2월) : 09:00-17:00,1,0,1,1,1,1,1,1,1,0
19,3.15아트센터,1,18,35.22581853,128.577106,경상남도 창원시 마산회원구 양덕동 532-3,055-286-0315,www.cwcf.or.kr/facility/facility_315art.asp,정보없음,정보없음,1,0,1,0,1,1,1,0,1,0
20,3.15의거발원지기념관,2,19,35.20709,128.577275,경상남도 창원시 마산합포구 오동동 165-7,055-245-3150,정보없음,매주 월요일,화-일 09:00-18:00,0,1,1,0,1,0,0,1,1,0
21,3.1순국기념관,2,20,37.12630809,126.891596,경기도 화성시 향남읍 제암리 392-2,031-366-1604,www.jeam.or.kr/html/?pmode=main,매주 월요일,10:00-18:00 (입장마감: 17시),1,0,1,1,1,1,1,1,1,1
22,3.1운동기념관,2,21,37.06278466,127.175295,경기도 안성시 원곡면 칠곡리 2-18,031-678-2475,www.anseong.go.kr/tourPortal/41/main.do,매주 월요일,09:00-18:00 (17:00까지 입장),1,0,1,1,1,1,1,1,1,1
23,3.1의거기념관,2,22,36.25369793,129.355422,경상북도 포항시 북구 송라면 대전리 281,054-262-0513,정보없음,매주 월요일,09:00-18:00,1,0,0,0,0,0,1,0,0,0
24,30CUBE아쿠아,5,23,35.86736822,129.214133,경상북도 경주시 황성동 515-11,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
25,313아트프로젝트,2,24,37.59501819,126.989272,서울특별시 성북구 성북동 286-5,02-3446-3137,313artproject.com/,"매주 일요일, 월요일, 공휴일","화-토 10 am-6 pm, 전시 화-토 11 am-5 pm",0,0,1,0,0,0,0,1,0,1
26,360도CC,4,25,37.30257197,127.739319,경기도 여주시 강천면 부평리 690,031-880-3600,www.360cc.co.kr/,연중무휴,TEE-OFF 일출 30분 후-일몰 5시간 이내,1,0,1,0,1,1,1,1,0,0
27,365계단,5,26,35.36445864,126.396027,전라남도 영광군 백수읍 대신리 산 234-11,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
28,365세이프타운,5,27,37.1025746,129.025226,강원도 태백시 장성동 31-2,0507-1495-7915,www.taebaek.go.kr/365safetown/index.do,"매주 월요일, 공휴일",09:00-18:00 16시 이후 입장시 시간관계상 일부 체험관 이용 불가,1,0,1,1,1,0,1,1,1,1
29,38문화예술창작소,1,28,38.01616895,127.217375,경기도 포천시 영중면 영평리 240,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
30,3D공룡체험박물관,2,2,37.70844017,126.685174,경기도 파주시 문발동 522-3,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
31,3D과학체험관,2,29,35.38987046,129.155758,경상남도 양산시 주진동 산 63-20,055-392-5608,3d.yangsan.go.kr/,매주 월요일,"10:00-12:00, 13:00-15:00, 15:30-17:30, 점심시간(11:50-12:50)에는 입장이 불가능합니다.",1,0,1,1,1,1,1,0,1,1
32,3D블랙아트,2,30,37.547246,127.078304,서울특별시 광진구 능동 18-11,정보없음,정보없음,정보없음,정보없음,0,1,1,0,0,1,0,0,0,0
33,3RDMUSEUM,2,31,37.55163429,126.919113,서울특별시 마포구 서교동 395-12,정보없음,www.thirdmuseum.com,매주 월요일,10:00-19:00,1,0,1,0,0,0,0,1,0,0
34,4.16기억전시관,2,32,37.32516183,126.821402,경기도 안산시 단원구 고잔동 661-3,031-411-7372,www.416memory.org/,정보없음,09:00-18:00,1,0,0,0,0,1,0,0,0,0
35,4.19국립묘지4.19기념관,2,33,37.64839067,127.009071,서울특별시 강북구 수유동 산 7-1,02-996-0419,www.mpva.go.kr/419/index.do,공휴일,월-금요일 근무일 09:00-17:00,1,0,1,1,1,1,1,1,1,1
36,4.19혁명기념회관,2,1,37.56744493,126.967694,서울특별시 종로구 평동 166,02-737-9556,정보없음,매주 일요일,월-토 08:00-22:00,1,0,1,1,1,1,0,1,1,1
37,40계단거리,5,12,35.10338417,129.035636,부산광역시 중구 중앙동3가 20,051-600-4044,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,1,0,0
38,40계단문화관,2,12,35.10500721,129.03448,부산광역시 중구 동광동5가 44-3,051-600-4046,https://url.kr/ltpdhr,매주 월요일,"평일(화-금) 10:00-18:00, 주말 10:00-17:00",1,0,1,0,0,1,0,1,0,0
39,4차산업혁명체험센터,2,34,37.55467447,127.04049,서울특별시 성동구 행당동 378,02-2286-7811,sdfic.sd.go.kr/,"매주 토요일, 일요일, 공휴일",09:00-18:00,1,0,1,1,1,1,1,1,1,1
40,4D무비카광주지사,5,35,37.42818857,127.237393,경기도 광주시 목현동 16-14,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
41,4EST수목원,5,36,34.45491283,126.596928,전라남도 해남군 현산면 황산리 산 1-33,061-533-7220,www.4est수목원.com/,정보없음,매일 09:00-19:00 동절기 9:00-17:00,0,0,0,0,0,0,0,0,0,0
42,5.18기념공원,6,37,35.15574851,126.858584,광주광역시 서구 쌍촌동 1268,062-376-5197,www.gwangju.go.kr/518/contentsView.do?pageId=maycenter59,정보없음,정보없음,1,0,0,0,0,1,1,1,0,0
43,5.18기념문화센터,1,37,35.15830536,126.857556,광주광역시 서구 쌍촌동 1268,062-376-5197,www.gwangju.go.kr/518/contentsView.do?pageId=maycenter35,연중무휴,07:00-22:00,1,0,0,1,1,1,1,1,0,0
44,5.18기념문화회관민주홀,1,37,35.15830536,126.857556,광주광역시 서구 쌍촌동 1268,062-376-5197,www.gwangju.go.kr/518/contentsView.do?pageId=maycenter35,연중무휴,07:00-22:00,1,0,0,1,1,1,1,1,0,0
45,5.18민주화운동기록관,2,38,35.14956323,126.916756,광주광역시 동구 금남로3가 3-5,062-613-8204,518archives.go.kr/,"매주 월요일, 공휴일",09:00-18:00,1,1,1,1,1,1,0,0,1,0
46,5.18역사문화기록관,2,38,35.14835809,126.91873,광주광역시 동구 금남로1가 1-1,062-225-0245,www.gwangju.go.kr/jeonil/,공휴일,09:00-19:00,1,0,0,0,0,0,0,0,0,0
47,55아트센터,2,39,34.87622164,126.517796,전라남도 무안군 일로읍 복룡리 814-1,061-281-5570,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
48,5월5일공방,1,14,37.67271123,126.700633,경기도 고양시 일산서구 법곳동 1185-1,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
49,6.25전쟁납북자기념관,2,2,37.88897896,126.743209,경기도 파주시 문산읍 사목리 477-1,031-930-6000,www.abductions625.go.kr/index.do,"매주 월요일, 공휴일","3월-10월 : 09:30-17:30 (17:00분 입장 마감), 11월-2월 : 10:00-17:00 (16:30분 입장 마감)",1,0,1,1,1,1,1,0,1,1
50,6.25전쟁체험전시관,2,40,38.58407952,128.373679,강원도 고성군 현내면 명호리 88-8,033-682-6625,정보없음,연중무휴,"매일 09:00-16:20 봄, 가을, 매일 09:00-17:30 여름, 매일 09:00-15:50 겨울",0,1,1,1,1,1,1,1,0,0
51,63빌딩63스카이아트미술관,2,41,37.51966416,126.939909,서울특별시 영등포구 여의도동 60,02-789-5663,www.63art.co.kr/home/63ART/main.do,연중무휴,10:00-20:00,0,1,1,1,1,1,0,1,1,1
52,63빌딩한화아쿠아플라넷,5,41,37.51966416,126.939909,서울특별시 영등포구 여의도동 60,1833-7001,www.aquaplanet.co.kr/index.do,정보없음,10:00-19:00 (입장마감 18:30),1,1,1,1,1,1,0,0,0,0
53,6전단항공역사관,2,42,35.99470352,129.412613,경상북도 포항시 남구 청림동 21-16,054-290-6227,정보없음,정보없음,매일 08:30-18:00,0,0,0,0,0,0,0,0,0,0
54,777레지던스,2,43,37.72426086,126.948172,경기도 양주시 장흥면 일영리 50,031-8082-4246,www.yangju.go.kr/changucchin/contents.do?key=2019,매주 월요일,10:00-18:00,1,0,1,0,0,1,1,1,0,0
55,77수족관,5,22,36.02960372,129.367037,경상북도 포항시 북구 죽도동 35-34,054-282-7755,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
56,7PICTURES,2,11,37.56566354,126.927005,서울특별시 서대문구 연희동 219-6,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
57,88CC,4,44,37.30673267,127.160462,경기도 용인시 기흥구 청덕동 80-2,031-287-8811,www.88countryclub.co.kr/,정보없음,정보없음,1,0,1,0,0,1,1,0,0,0
58,9.81파크,5,45,33.39003694,126.366509,제주특별자치도 제주시 애월읍 어음리 산 131,1833-9810,www.981park.com,정보없음,정보없음,1,0,1,0,1,1,0,0,0,0
59,93뮤지엄,2,2,37.78979276,126.696331,경기도 파주시 탄현면 법흥리 1652-115,031-948-6677,www.galleryfocus.co.kr/,매주 월요일,"동절기 09:00-17:00, 하절기 09:00-18:00",1,0,0,0,0,0,0,0,0,0
60,가경골프랜드,3,46,36.62599603,127.435186,충청북도 청주시 흥덕구 가경동 1454-7,043-238-7181,정보없음,정보없음,정보없음,1,0,0,0,0,0,0,0,0,0
61,가계해수욕장,5,47,34.44637135,126.351805,전라남도 진도군 고군면 금계리,061-540-6605,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,1,0,0
62,가나1아뜰리에,2,43,37.72666259,126.950087,경기도 양주시 장흥면 일영리 6-1,0507-1352-5802,www.jhatelier.com/,매월 둘째주 금요일 제외하고 휴무,10:00-20:00,1,0,1,0,0,1,1,1,0,0
63,가나미디어,1,1,37.57292514,127.00162,서울특별시 종로구 연지동 136-46,02-3477-9923,canaav.co.kr/skin_mw2/,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
64,가나아트,2,1,37.57499572,126.983939,서울특별시 종로구 관훈동 119,0507-1362-1333,www.galleryinsaart.com/,매주 화요일,평일 10:00-19:00,0,0,0,0,0,0,0,1,0,0
65,가나아트,2,1,37.61224471,126.975182,서울특별시 종로구 평창동 97,0507-1402-5011,www.ganaart.com/,정보없음,매일 10:00-19:00,1,0,1,0,0,0,0,0,0,0
66,가나아트파크,1,43,37.72583554,126.949332,경기도 양주시 장흥면 일영리 6-7,0507-1437-0500,www.artpark.co.kr,"매주 월요일, 공휴일","주말 및 공휴일, 11월-4월 10:00-18:00 (입장마감 17:00) , 5월-10월 10:00-19:00 (입장마감 18:00), 평일 10:30-18:00 (입장마감 17:00)",1,0,1,1,1,1,1,1,0,1
67,가나엔터프라이즈,2,37,35.15071637,126.83543,광주광역시 서구 치평동 893-1,정보없음,gana2.com/,연중무휴,00:00-24:00,1,0,0,0,0,0,0,0,0,0
68,가는게해수욕장,5,4,34.68778767,125.929008,전라남도 신안군 도초면 지남리,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
69,가든골프,3,48,37.30998467,127.91612,강원도 원주시 흥업면 흥업리 783,033-763-8660,정보없음,정보없음,정보없음,1,0,0,0,0,0,0,0,0,0
70,가든스테이지,1,49,35.19606181,129.213207,부산광역시 기장군 기장읍 시랑리 산 46,1661-2000,www.lotteworld.com,연중무휴,정보없음,0,1,1,1,1,1,1,1,1,0
71,가람누리문화공원,6,28,38.07855269,127.213971,경기도 포천시 영북면 대회산리 418,정보없음,정보없음,정보없음,정보없음,1,0,1,0,1,1,1,1,0,0
72,가람리조트사계절썰매장,4,50,37.83640294,128.018378,강원도 홍천군 두촌면 철정리 34-5,033-434-1080,garamvalley.co.kr/,정보없음,"토,일 10:30-16:30, 12:00-00-15:00 휴게시간, ,주중: 일반이용객 최소인원 10人 이상시 운영(사전문의)",1,0,1,0,0,1,1,0,0,0
73,가람문학관,2,51,36.03531462,127.084481,전라북도 익산시 여산면 원수리 575-2,063-832-1891,정보없음,"매주 월요일, 공휴일",09:00-18:00,1,0,1,0,1,1,0,0,0,0
74,가람신작,1,52,36.63659967,127.493922,충청북도 청주시 상당구 수동 230-13,043-222-5911,www.cbfc.or.kr/home/main.php,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
75,가람아트홀,1,53,35.12771884,129.092786,부산광역시 남구 대연동 965-2,정보없음,garamarthall.modoo.at/,공연별 상이,공연일정에따라 유동적,1,0,0,0,0,0,0,0,0,0
76,가람유원지,5,10,37.96499735,127.432902,경기도 가평군 북면 적목리 산 131-11,정보없음,kbs1.kr/h/garampsywj/mobile/index.htmm,정보없음,정보없음,1,0,0,0,0,0,0,1,0,0
77,가람화랑,2,1,37.57428279,126.985614,서울특별시 종로구 관훈동 30-10,0507-1332-6170,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,1,0,0
78,가리산자연휴양림,5,50,37.86589954,127.998813,강원도 홍천군 두촌면 천현리 산 134-1,033-435-6035,https://url.kr/fe1hy2,정보없음,정보없음,0,1,0,0,0,0,0,0,0,0
79,가리역터,5,54,35.13223646,126.493184,전라남도 함평군 신광면 가덕리 153-9,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
80,가마골소극장,1,55,35.18835625,129.076123,부산광역시 연제구 거제동 18-22,051-723-0568,kamagol.modoo.at/,"매주 월요일, 공휴일",09:00-22:00,1,0,1,0,0,0,1,0,0,0
81,가마기산성,7,56,36.73478576,127.575417,충청북도 청주시 청원구 북이면 부연리 산 83,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,1,0,0
82,가마미해수욕장,5,26,35.40356865,126.415154,전라남도 영광군 홍농읍 계마리,061-356-1020,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
83,가마섬,5,25,37.18829938,127.684176,경기도 여주시 점동면 현수리 555-12,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
84,가마터갤러리,2,57,37.60429952,127.393174,경기도 양평군 서종면 도장리 87-10,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
85,가마해안도로,5,58,33.30450761,126.810597,제주특별자치도 서귀포시 표선면 세화리 171-1,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,1,0,0
86,가막유원지,5,59,35.806548,127.515969,전라북도 진안군 진안읍 가막리 298,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
87,가배량성,7,60,34.78167689,128.571558,경상남도 거제시 동부면 가배리 산 17-1,055-639-3404,https://url.kr/nglsz6,연중무휴,상시개방,0,0,0,0,0,0,0,1,0,0
88,가사동백숲해변,5,61,34.41311053,126.952414,전라남도 완도군 약산면 해동리,061-550-5423,정보없음,정보없음,정보없음,1,0,0,0,0,0,0,1,0,0
89,가산골프,3,62,36.1014487,128.511674,경상북도 칠곡군 가산면 송학리 417-3,054-975-5757,정보없음,연중무휴,매일 07:30-20:00,1,0,0,0,0,1,0,0,0,0
90,가산골프랜드,4,63,35.33280206,126.947587,전라남도 담양군 담양읍 가산리 620-6,061-383-4488,정보없음,정보없음,06:00-20:00,1,0,0,0,0,0,0,0,0,0
91,가산박물관,2,64,36.40466701,127.621897,충청북도 옥천군 안내면 용촌리 221,043-733-9129,정보없음,정보없음,"평일 관람시간 09:00-18:00, 공휴일 관람시간 09:00-18:00",0,0,0,0,0,0,0,0,0,0
92,가산산성,7,62,36.03477653,128.583024,경상북도 칠곡군 가산면 가산리 1211-2,054-979-6452,www.heritage.go.kr,연중무휴,상시개방,1,0,0,0,0,0,1,1,0,0
93,가산산성대궐터,5,65,35.54748329,128.508108,경상남도 창녕군 창녕읍 교리 산 5,054-973-3321,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,1,0,0
94,가산수변공원,6,29,35.29501228,129.017836,경상남도 양산시 동면 가산리 799,055-379-8692,www.yssisul.or.kr/stms/ys/info,연중무휴,상시개방,1,0,1,0,1,1,1,1,0,0
95,가산오광대전수교육관,2,66,35.08460555,128.040264,경상남도 사천시 축동면 가산리 830-2,055-831-2727,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
96,가산팜스테이,5,67,35.13022653,126.676577,광주광역시 광산구 대산동 117-3,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
97,가산화랑,2,68,37.34355388,127.127438,경기도 성남시 분당구 구미동 274-1,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
98,가섭산테마공원(2023년1월예정),5,69,36.9596435,127.705664,충청북도 음성군 음성읍 한벌리 산 31-3,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
99,가세해수욕장,5,70,37.53260054,129.097327,강원도 동해시 평릉동,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
100,가스펠재즈,1,71,37.49998194,127.039705,서울특별시 강남구 역삼동 725-17,02-553-5888,정보없음,정보없음,정보없음,1,0,1,0,0,0,0,1,0,0
101,가슴,2,2,37.78890931,126.695294,경기도 파주시 탄현면 법흥리 1652-168,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
102,가시리문화센터,1,58,33.35360912,126.770882,제주특별자치도 서귀포시 표선면 가시리 1876-2,정보없음,https://url.kr/sbnaur,정보없음,정보없음,1,0,1,0,0,0,0,0,0,0
103,가시리창작지원센터,1,58,33.35275982,126.765437,제주특별자치도 서귀포시 표선면 가시리 2339,070-8807-1305,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
104,가시창작소,2,2,37.78106403,126.713987,경기도 파주시 탄현면 법흥리 230-11,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
105,가야공원유원지,5,72,35.14609828,129.028145,부산광역시 부산진구 가야동 산 44-5,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
106,가야극장,1,11,37.56497574,126.959222,서울특별시 서대문구 충정로3가 3-397,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
107,가야랜드,5,73,35.25817158,128.902435,경상남도 김해시 삼방동 792,055-346-6000,gaya-land.com/,연중무휴,매일10:00-18:00 (입장마감 17:30),1,0,1,0,1,1,1,1,0,0
108,가야랜드눈썰매장,4,73,35.25817158,128.902435,경상남도 김해시 삼방동 792,055-346-6000,www.gaya-land.com/schedule/index.php,연중무휴,"월-금 10:00-17:30, 토,일 10:00-18:00",0,0,1,0,0,1,0,0,0,0
109,가야박물관,2,74,35.83676137,128.54342,대구광역시 달서구 본동 831,053-560-3700,정보없음,정보없음,정보없음,1,0,0,0,0,0,0,0,0,0
110,가야산국립공원,6,75,35.80263958,128.096881,경상남도 합천군 가야면 치인리 산 1-1,055-930-8000,https://url.kr/gd8lk7,상시변동,"계절별 탐방로별 입장 및 통제시간 상이, 시간은 홈페이지 참조",1,0,1,1,1,1,1,1,1,1
111,가야역사문화센터(2023년9월예정),2,73,35.17929234,128.798741,경상남도 김해시 관동동 452-3,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
112,가야퍼블릭CC,4,73,35.27066419,128.892224,경상남도 김해시 삼방동 산 7-1,055-337-0091,www.gayacc.com/,연중무휴,예약에 따라 운영,1,0,0,0,0,1,0,0,0,0
113,가얏고체험관,5,76,35.7417615,128.260928,경상북도 고령군 대가야읍 쾌빈리 185-1,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
114,가양레포츠센터축구장,3,77,37.55996013,126.86556,서울특별시 강서구 가양동 1493,02-6229-6680,sports.seoul.go.kr/main/facilities/facilities_view.do?&ft_idx=764,공휴일,주중 :09:00-22:00/주말 :주말 06:00-22:00,1,0,1,0,1,1,0,1,1,0
115,가야CC,4,73,35.28114514,128.895838,경상남도 김해시 삼방동 산 1,055-337-0091,www.gayacc.com/main_new.php,연중무휴,예약에 따라 운영,1,0,0,0,0,1,0,0,0,0
116,가온스테이지,1,31,37.5531083,126.917526,서울특별시 마포구 서교동 377-3,0507-1347-8650,정보없음,정보없음,24시간 운영,0,0,1,0,0,0,0,1,0,0
117,가온아트홀,1,38,35.13820831,129.064915,부산광역시 동구 범일동 830-9,1600-1602,https://url.kr/mw5efr,연중무휴,10:00-22:00,0,1,1,0,0,1,1,1,0,0
118,가원미술관,2,7,37.42397285,126.999203,경기도 과천시 문원동 226,0507-1331-3730,정보없음,정보없음,정보없음,1,0,0,0,0,0,0,1,0,0
119,가은역꼬마열차,5,78,36.64952139,128.060485,경상북도 문경시 가은읍 왕능리 536,054-572-5068,www.mgtpcr.or.kr/web/index.do,매주 월요일,매일 09:00-18:00,1,0,1,0,1,1,1,1,1,0
120,가음아트홀,1,79,35.209418,128.688789,경상남도 창원시 성산구 가음동 7-3,정보없음,정보없음,정보없음,정보없음,1,0,1,0,0,1,0,1,0,0
121,가의암,5,80,35.95671665,127.760964,전라북도 무주군 설천면 두길리 산 257,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,1,0,0
122,가이아갤러리,2,1,37.5751462,126.983386,서울특별시 종로구 관훈동 144,02-733-3373,www.galerie-gaia.net/,상시변동,"월-토 10:00-18:00, 일 11:00-17:00",0,0,0,0,0,0,0,1,0,0
123,가일미술관,2,10,37.66041649,127.379434,경기도 가평군 청평면 삼회리 609-6,031-584-4722,www.gailart.org/,"매주 월요일, 공휴일","하절기 10:00-19:00, 동절기 10:00-18:00",1,0,1,0,0,0,1,1,0,0
124,가족농원유원지,5,10,37.85181598,127.379368,경기도 가평군 조종면 마일리 337,정보없음,정보없음,정보없음,정보없음,1,0,0,0,0,0,0,1,0,1
125,가족사랑전람,2,24,37.59166254,127.014818,서울특별시 성북구 동소문동5가 120,070-4633-1840,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
126,가좌골프스쿨,3,37,37.49572958,126.686057,인천광역시 서구 가좌동 79-12,0507-1431-1239,정보없음,연중무휴,예약제,1,0,1,0,0,0,0,0,0,0
127,가좌배드민턴경기장,3,14,37.68619822,126.721681,경기도 고양시 일산서구 가좌동 1098,031-921-6190,cafe.daum.net/bdmtgg,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
128,가지산도립공원,6,81,35.61743497,128.980784,경상북도 청도군 운문면 신원리 산 169-4,055-356-5357,https://url.kr/63tb7u,연중무휴,24시개방,0,1,1,0,1,1,1,1,0,1
129,가진해수욕장,5,40,38.36604776,128.496529,강원도 고성군 죽왕면 가진리,033-680-3356,www.gwgs.go.kr/prog/tursmCn/tour/sub02_02/view.do?cntno=61,정보없음,"매년 하절기 7-8월 일반해변 06:00-24:00, 마을관리해변 06:00-22:00",0,0,0,0,0,0,0,1,0,0
130,가천박물관,2,82,37.41847997,126.657603,인천광역시 연수구 옥련동 567-22,032-833-4747,gcmuseum.org,"매주 월요일, 공휴일",09:00-17:00,1,0,1,0,0,0,0,0,1,1
131,가코마린,4,83,37.60948977,126.784052,경기도 김포시 고촌읍 신곡리 101-3,정보없음,정보없음,정보없음,주중 09:00-18:00,0,0,0,0,0,0,0,0,0,0
132,가톨릭갤러리현,2,37,35.1502428,126.86849,광주광역시 서구 쌍촌동 997-1,062-380-2200,www.kccei.com/,정보없음,정보없음,1,0,0,0,0,0,0,1,0,0
133,가톨릭관동대학교강릉캠퍼스박물관,2,84,37.73732878,128.873705,강원도 강릉시 내곡동 522,033-649-7851,museum.cku.ac.kr/,"매주 토요일, 일요일, 공휴일",평일 09:00-17:00,1,0,0,0,0,0,1,0,0,1
